Ano;Região;UF;Estado;Organização Acadêmica;Instituicao;Instituição (Nome);Eficiência Acadêmica | Concluídos;Eficiência Acadêmica | Concluídos %;Eficiência Acadêmica | Índice de Eficiência Acadêmica %;Eficiência Acadêmica | Número de Evadidos;Eficiência Acadêmica | Retidos;Eficiência Acadêmica | Retidos %;Eficiência Acadêmica | Taxa de Evasão %
2021;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;2485;0,29639790076335876;0,36793011548711874;4269;1630;0,19441793893129772;0,5091841603053435
2021;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;2810;0,4471674092934437;0,5068542568542569;2734;740;0,11775938892425207;0,43507320178230424
2021;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IFG;Instituto Federal de Goiás;2523;0,42474747474747476;0,4811212814645309;2721;696;0,11717171717171718;0,4580808080808081
2021;Centro-Oeste;MS;Mato Grosso do Sul;Institutos Federais, Cefet's e Colégio Pedro II;IFMS;Instituto Federal do Mato Grosso do Sul;6360;0,30258337694466914;0,3158835800139069;13774;885;0,04210476235786669;0,6553118606974642
2021;Centro-Oeste;MT;Mato Grosso;Institutos Federais, Cefet's e Colégio Pedro II;IFMT;Instituto Federal do Mato Grosso;2851;0,3952037704463543;0,5321015304217992;2507;1856;0,2572775159412254;0,3475187136124203
2021;Nordeste;AL;Alagoas;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;1772;0,3536220315306326;0,41440598690364827;2504;735;0,14667730991818;0,4997006585511874
2021;Nordeste;AL;Alagoas;Universidades Federais;UFAL - ETA;Universidade Federal de Alagoas;61;0,5980392156862745;0,6354166666666666;35;6;0,058823529411764705;0,3431372549019608
2021;Nordeste;BA;Bahia;Institutos Federais, Cefet's e Colégio Pedro II;IF BAIANO;Instituto Federal Baiano;1464;0,2497867258147074;0,35200769415724936;2695;1702;0,29039413069442077;0,4598191434908719
2021;Nordeste;BA;Bahia;Institutos Federais, Cefet's e Colégio Pedro II;IFBA;Instituto Federal da Bahia;3432;0,3216193421422547;0,43344278858297547;4486;2753;0,25798894199231565;0,42039171586542967
2021;Nordeste;CE;Ceará;Institutos Federais, Cefet's e Colégio Pedro II;IFCE;Instituto Federal do Ceará;7586;0,34126591389626165;0,3975890985324948;11494;3149;0,1416617931530883;0,51707229295065
2021;Nordeste;MA;Maranhão;Institutos Federais, Cefet's e Colégio Pedro II;IFMA;Instituto Federal do Maranhão;4764;0,4610471305525985;0,6399785061794734;2680;2889;0,2795896641827156;0,259363205264686
2021;Nordeste;MA;Maranhão;Universidades Federais;UFMA - COLUN;Universidade Federal do Maranhão;32;0,9142857142857143;0,9696969696969696;1;2;0,05714285714285714;0,02857142857142857
