Ano;Sigla;IGC (Contínuo);IGC (Faixa)
2021;CEFET-MG;3512507192;4
2021;CEFET-MG;2695885804;3
2021;CEFET-MG;3506472556;4
2021;CEFET-MG;3102641944;4
2021;CEFET-MG;4027566597;5
2021;CEFET-MG;4081073545;5
2021;CEFET-MG;3508512042;4
2021;CEFET-MG;3553983939;4
2021;CEFET-MG;293390235;3
2021;CEFET-MG;2661805133;3
2021;CEFET-MG;2496716327;3
2021;CEFET-MG;3729463207;4
2021;CEFET-MG;3611112844;4
2021;CEFET-MG;3620471285;4
2021;CEFET-MG;;
2021;CEFET-MG;2863039275;3
2021;CEFET-MG;2837679013;3
2021;CEFET-MG;3846247682;4
2021;CEFET-MG;3189843941;4
2021;CEFET-MG;3114109;4
2021;CEFET-MG;2492294448;3
2021;CEFET-MG;2403153013;3
2021;CEFET-MG;2732657196;3
2021;CEFET-MG;3941658713;4
2021;CEFET-MG;2887219177;3
2021;CEFET-MG;4302484121;5
2021;CEFET-MG;3335696579;4
2021;CEFET-MG;3307692363;4
2021;CEFET-MG;400329495;5
2021;CEFET-MG;3722787753;4
2021;CEFET-MG;3906819271;4
2021;CEFET-MG;3324348627;4
2021;CEFET-MG;414065135;5
2021;CEFET-MG;2988914465;4
2021;CEFET-MG;2960656557;4
2021;CEFET-MG;2641762914;3
2021;CEFET-MG;3234727942;4
2021;CEFET-MG;3708137018;4
2021;CEFET-MG;334620836;4
2021;CEFET-MG;306536013;4
2021;CEFET-MG;2688384493;3
2021;CEFET-MG;4076238557;5
2021;CEFET-MG;2536784039;3
2021;CEFET-MG;3509478483;4
2021;CEFET-MG;3612885813;4
2021;CEFET-MG;3236517674;4
2021;CEFET-MG;3377704888;4
2021;CEFET-MG;4058092028;5
2021;CEFET-MG;3266043925;4
2021;CEFET-MG;3017890085;4
2021;CEFET-MG;2997071468;4
2021;CEFET-MG;3324683138;4
2021;CEFET-MG;3488239617;4
2021;CEFET-MG;3512451573;4
2021;CEFET-MG;4123139024;5
2021;CEFET-MG;3273782929;4
2021;CEFET-MG;2210827218;3
2021;CEFET-MG;2430536858;3
2021;CEFET-MG;2245888744;3
2021;CEFET-MG;3089183416;4
2021;CEFET-MG;3126550894;4
2021;CEFET-MG;2856866334;3
2021;CEFET-MG;3291531494;4
2021;CEFET-MG;2940779387;3
2021;CEFET-MG;3292811579;4
2021;CEFET-MG;356986275;4
2021;CEFET-MG;3573005406;4
2021;CEFET-MG;2339542225;3
2021;CEFET-MG;3051728893;4
2021;CEFET-MG;4300489861;5
2021;CEFET-MG;3997807128;5
2021;CEFET-MG;3390293399;4
2021;CEFET-MG;3490974306;4
2021;CEFET-MG;3225937454;4
2021;CEFET-MG;336759351;4
2021;CEFET-MG;3883235013;4
2021;CEFET-MG;3373048788;4
2021;CEFET-MG;3278240164;4
2021;CEFET-MG;405079264;5
2021;CEFET-MG;2850843609;3
2021;CEFET-MG;3027673073;4
2021;CEFET-MG;3048186625;4
2021;CEFET-MG;2849209604;3
2021;CEFET-MG;2890119389;3
2021;CEFET-MG;2927776053;3
2021;CEFET-MG;2845015305;3
2021;CEFET-MG;3222894241;4
2021;CEFET-MG;2835568588;3
2021;CEFET-MG;3506946459;4
2021;CEFET-MG;335249821;4
2021;CEFET-MG;313265412;4
2021;CEFET-MG;3576490485;4
2021;CEFET-MG;2622672816;3
2021;CEFET-MG;2849506487;3
2021;CEFET-MG;3491957869;4
2021;CEFET-MG;2328300919;3
2021;CEFET-MG;3441288643;4
2021;CEFET-MG;4165353459;5
2021;CEFET-MG;3831764174;4
2021;CEFET-MG;2923411951;3
2021;CEFET-MG;2825584097;3
2021;CEFET-MG;3549260646;4
2021;CEFET-MG;3042680337;4
2021;CEFET-MG;2965590173;4
2021;CEFET-RJ;4123139024;5
2021;CEFET-RJ;2965590173;4
2021;CEFET-RJ;293390235;3
2021;CEFET-RJ;313265412;4
2021;CEFET-RJ;3126550894;4
2021;CEFET-RJ;3307692363;4
2021;CEFET-RJ;336759351;4
2021;CEFET-RJ;3883235013;4
2021;CEFET-RJ;2328300919;3
2021;CEFET-RJ;2988914465;4
2021;CEFET-RJ;3831764174;4
2021;CEFET-RJ;2856866334;3
2021;CEFET-RJ;3278240164;4
2021;CEFET-RJ;3236517674;4
2021;CEFET-RJ;3390293399;4
2021;CEFET-RJ;2927776053;3
2021;CEFET-RJ;4027566597;5
2021;CEFET-RJ;3612885813;4
2021;CEFET-RJ;3508512042;4
