Ano;Região;UF;Estado;Organização Acadêmica;Instituicao;Instituição (Nome);Eficiência Acadêmica | Concluídos;Eficiência Acadêmica | Concluídos %;Eficiência Acadêmica | Índice de Eficiência Acadêmica %;Eficiência Acadêmica | Número de Evadidos;Eficiência Acadêmica | Retidos;Eficiência Acadêmica | Retidos %;Eficiência Acadêmica | Taxa de Evasão %
2017;;;;;;;22;0,8148148148148148;0,8148148148148148;5;;;0,18518518518518517
2017;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;1993;0,3024279210925645;0,331063122923588;4027;570;0,08649468892261002;0,6110773899848255
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;6470;0,3938637608814756;0,4491184228793558;7936;2021;0,1230291593108906;0,4831070798076338
2017;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IFG;Instituto Federal de Goiás;1763;0,3875577049901077;0,42410392109694495;2394;392;0,08617278522752253;0,5262695097823697
2017;Centro-Oeste;MS;Mato Grosso do Sul;Institutos Federais, Cefet's e Colégio Pedro II;IFMS;Instituto Federal do Mato Grosso do Sul;1350;0,3295093971198438;0,33775331498623967;2647;100;0,0244081034903588;0,6460824993897974
2017;Centro-Oeste;MT;Mato Grosso;Institutos Federais, Cefet's e Colégio Pedro II;IFMT;Instituto Federal do Mato Grosso;2073;0,4018999612252811;0,4742621825669183;2298;787;0,15257851880573867;0,4455215199689802
2017;Nordeste;AL;Alagoas;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;1726;0,4172105390379502;0,48867497168742924;1806;605;0,146241237611796;0,4365482233502538
2017;Nordeste;AL;Alagoas;Universidades Federais;UFAL - ETA;Universidade Federal de Alagoas;62;0,5486725663716814;0,5740740740740741;46;5;0,04424778761061947;0,40707964601769914
2017;Nordeste;BA;Bahia;Institutos Federais, Cefet's e Colégio Pedro II;IF BAIANO;Instituto Federal Baiano;1346;0,4815742397137746;0,5069679849340867;1309;140;0,05008944543828265;0,46833631484794275
2017;Nordeste;BA;Bahia;Institutos Federais, Cefet's e Colégio Pedro II;IFBA;Instituto Federal da Bahia;2140;0,3045829775120979;0,3436095054592164;4088;798;0,11357813834329633;0,5818388841446057
2017;Nordeste;CE;Ceará;Institutos Federais, Cefet's e Colégio Pedro II;IFCE;Instituto Federal do Ceará;5631;0,40887307580598314;0,44178565824572413;7115;1026;0,07449898344467035;0,5166279407493465
2017;Nordeste;MA;Maranhão;Institutos Federais, Cefet's e Colégio Pedro II;IFMA;Instituto Federal do Maranhão;4426;0,469751645085969;0,5465547048653989;3672;1324;0,14052218212693696;0,38972617278709404
2017;Nordeste;PB;Paraiba;Institutos Federais, Cefet's e Colégio Pedro II;IFPB;Instituto Federal da Paraíba;1822;0,2904511398055157;0,31775374956400415;3912;539;0,08592380041447473;0,6236250597800096
2017;Nordeste;PB;Paraíba;Universidades Federais;UFCG - ETSC;Universidade Federal de Campina Grande;75;0,7075471698113207;0,7352941176470588;27;4;0,03773584905660377;0,25471698113207547
2017;Nordeste;PB;Paraíba;Universidades Federais;UFPB - CAVN;Universidade Federal da Paraíba;136;0,33663366336633666;0,3383084577114428;266;2;0,0049504950495049506;0,6584158415841584
2017;Nordeste;PB;Paraíba;Universidades Federais;UFPB - ETS;Universidade Federal da Paraíba;42;0,4772727272727273;0,4827586206896552;45;1;0,011363636363636364;0,5113636363636364
2017;Nordeste;PE;Pernambuco;Institutos Federais, Cefet's e Colégio Pedro II;IF SERTÃO-PE;Instituto Federal do Sertão Pernambucano;2171;0,4256862745098039;0,45399414470932664;2611;318;0,06235294117647059;0,5119607843137255
2017;Nordeste;PE;Pernambuco;Institutos Federais, Cefet's e Colégio Pedro II;IFPE;Instituto Federal de Pernambuco;2917;0,3816564176370535;0,4234286543765423;3972;754;0,09865236163810022;0,5196912207248463
2017;Nordeste;PE;Pernambuco;Universidades Federais;UFRPE - CODAI;Universidade Federal Rural de Pernambuco;38;0,059748427672955975;0,3114754098360656;84;514;0,8081761006289309;0,1320754716981132
2017;Nordeste;PI;Piauí;Institutos Federais, Cefet's e Colégio Pedro II;IFPI;Instituto Federal do Piauí;2473;0,40761496621064774;0,4257920110192837;3335;259;0,04268996208999506;0,5496950716993572
2017;Nordeste;PI;Piauí;Universidades Federais;UFPI - CABJ;Universidade Federal do Piauí;111;0,2846153846153846;0,444;139;140;0,358974358974359;0,3564102564102564
2017;Nordeste;PI;Piauí;Universidades Federais;UFPI - CAT;Universidade Federal do Piauí;144;0,48322147651006714;0,5070422535211268;140;14;0,04697986577181208;0,4697986577181208
2017;Nordeste;PI;Piauí;Universidades Federais;UFPI - CTF;Universidade Federal do Piauí;514;0,648171500630517;0,6936572199730094;227;52;0,06557377049180328;0,2862547288776797
2017;Nordeste;RN;Rio Grande do Norte;Institutos Federais, Cefet's e Colégio Pedro II;IFRN;Instituto Federal do Rio Grande do Norte;9802;0,5711122764085533;0,5886380014412683;6850;511;0,029773349647497525;0,3991143739439492
2017;Nordeste;RN;Rio Grande do Norte;Universidades Federais;ESUFRN;Universidade Federal do Rio Grande do Norte;343;0,6270566727605119;0,634011090573013;198;6;0,010968921389396709;0,3619744058500914
