Ano;Sigla;Área de Avaliação;CPC (Faixa)
2019;CEFET-MG;AGRONOMIA;2
2019;CEFET-MG;AGRONOMIA;3
2019;CEFET-MG;AGRONOMIA;4
2019;CEFET-MG;AGRONOMIA;5
2019;CEFET-MG;ARQUITETURA E URBANISMO;3
2019;CEFET-MG;ARQUITETURA E URBANISMO;4
2019;CEFET-MG;ARQUITETURA E URBANISMO;5
2019;CEFET-MG;BIOMEDICINA;3
2019;CEFET-MG;BIOMEDICINA;4
2019;CEFET-MG;EDUCAÇÃO FÍSICA (BACHARELADO);3
2019;CEFET-MG;EDUCAÇÃO FÍSICA (BACHARELADO);4
2019;CEFET-MG;ENFERMAGEM;0
2019;CEFET-MG;ENFERMAGEM;3
2019;CEFET-MG;ENFERMAGEM;4
2019;CEFET-MG;ENFERMAGEM;5
2019;CEFET-MG;ENGENHARIA AMBIENTAL;0
2019;CEFET-MG;ENGENHARIA AMBIENTAL;3
2019;CEFET-MG;ENGENHARIA AMBIENTAL;4
2019;CEFET-MG;ENGENHARIA AMBIENTAL;5
2019;CEFET-MG;ENGENHARIA CIVIL;3
2019;CEFET-MG;ENGENHARIA CIVIL;4
2019;CEFET-MG;ENGENHARIA CIVIL;5
2019;CEFET-MG;ENGENHARIA DA COMPUTAÇÃO;3
2019;CEFET-MG;ENGENHARIA DA COMPUTAÇÃO;4
2019;CEFET-MG;ENGENHARIA DA COMPUTAÇÃO;5
2019;CEFET-MG;ENGENHARIA DE ALIMENTOS;3
2019;CEFET-MG;ENGENHARIA DE ALIMENTOS;4
2019;CEFET-MG;ENGENHARIA DE ALIMENTOS;5
2019;CEFET-MG;ENGENHARIA DE CONTROLE E AUTOMAÇÃO;0
2019;CEFET-MG;ENGENHARIA DE CONTROLE E AUTOMAÇÃO;3
2019;CEFET-MG;ENGENHARIA DE CONTROLE E AUTOMAÇÃO;4
2019;CEFET-MG;ENGENHARIA DE CONTROLE E AUTOMAÇÃO;5
2019;CEFET-MG;ENGENHARIA DE PRODUÇÃO;3
2019;CEFET-MG;ENGENHARIA DE PRODUÇÃO;4
2019;CEFET-MG;ENGENHARIA DE PRODUÇÃO;5
2019;CEFET-MG;ENGENHARIA ELÉTRICA;0
2019;CEFET-MG;ENGENHARIA ELÉTRICA;3
2019;CEFET-MG;ENGENHARIA ELÉTRICA;4
2019;CEFET-MG;ENGENHARIA ELÉTRICA;5
2019;CEFET-MG;ENGENHARIA FLORESTAL;2
2019;CEFET-MG;ENGENHARIA FLORESTAL;3
2019;CEFET-MG;ENGENHARIA FLORESTAL;4
2019;CEFET-MG;ENGENHARIA FLORESTAL;5
