Ano;Região;UF;Estado;Organização Acadêmica;Instituicao;Instituição (Nome);Matrícula Equivalente | Formação de Professores (IFs) %;Matrícula Equivalente | Técnicos (IFs) %;Matrícula Equivalente | Proeja (IFs) %
2021;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;0,15552612839661495;0,5942343858027838;0,02936860301023619
2021;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IF GOIANO;Instituto Federal Goiano;0,15348817168891732;0,43220364179785953;0,004998957726107348
2021;Centro-Oeste;GO;Goiás;Institutos Federais, Cefet's e Colégio Pedro II;IFG;Instituto Federal de Goiás;0,25882273889795826;0,4258085739191235;0,11019956393455707
2021;Centro-Oeste;MS;Mato Grosso do Sul;Institutos Federais, Cefet's e Colégio Pedro II;IFMS;Instituto Federal do Mato Grosso do Sul;0,15562610964284582;0,5165649734906362;0,026647305917212094
2021;Centro-Oeste;MT;Mato Grosso;Institutos Federais, Cefet's e Colégio Pedro II;IFMT;Instituto Federal do Mato Grosso;0,1389875900777654;0,4941048203365382;0,0035847725839835633
2021;Nordeste;AL;Alagoas;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;0,10667760628051433;0,7276500004447748;0,02269842689219497
2021;Nordeste;BA;Bahia;Institutos Federais, Cefet's e Colégio Pedro II;IF BAIANO;Instituto Federal Baiano;0,12114967303456833;0,7599783605052337;0,007031538750018499
2021;Nordeste;BA;Bahia;Institutos Federais, Cefet's e Colégio Pedro II;IFBA;Instituto Federal da Bahia;0,1558755659705899;0,6020287300029276;0,008822919493631468
2021;Nordeste;CE;Ceará;Institutos Federais, Cefet's e Colégio Pedro II;IFCE;Instituto Federal do Ceará;0,24182305564833986;0,3996317601081612;0,004033658823116176
2021;Nordeste;MA;Maranhão;Institutos Federais, Cefet's e Colégio Pedro II;IFMA;Instituto Federal do Maranhão;0,19632566779272528;0,646242172146426;0,033417690776632425
2021;Nordeste;PB;Paraiba;Institutos Federais, Cefet's e Colégio Pedro II;IFPB;Instituto Federal da Paraíba;0,1619480782076976;0,43306517366978287;0,006794709447248481
2021;Nordeste;PE;Pernambuco;Institutos Federais, Cefet's e Colégio Pedro II;IF SERTÃO-PE;Instituto Federal do Sertão Pernambucano;0,1961118730779738;0,6074874200212996;0,04937631732696956
2021;Nordeste;PE;Pernambuco;Institutos Federais, Cefet's e Colégio Pedro II;IFPE;Instituto Federal de Pernambuco;0,10150395739529688;0,6695041195414099;0,02118344560463019
2021;Nordeste;PI;Piauí;Institutos Federais, Cefet's e Colégio Pedro II;IFPI;Instituto Federal do Piauí;0,20934005709625014;0,6006110391093479;0,022128420132211883
