Ano;nomeUnidadeRecente;Área de Avaliação;CPC (Faixa)
2021;;AGRONOMIA;2
2021;;AGRONOMIA;3
2021;;AGRONOMIA;4
2021;;AGRONOMIA;5
2021;;ARQUITETURA E URBANISMO;3
2021;;ARQUITETURA E URBANISMO;4
2021;;ARQUITETURA E URBANISMO;5
2021;;BIOMEDICINA;3
2021;;BIOMEDICINA;4
2021;;EDUCAÇÃO FÍSICA (BACHARELADO);3
2021;;EDUCAÇÃO FÍSICA (BACHARELADO);4
2021;;ENFERMAGEM;0
2021;;ENFERMAGEM;3
2021;;ENFERMAGEM;4
2021;;ENFERMAGEM;5
2021;;ENGENHARIA AMBIENTAL;0
2021;;ENGENHARIA AMBIENTAL;3
2021;;ENGENHARIA AMBIENTAL;4
2021;;ENGENHARIA AMBIENTAL;5
2021;;ENGENHARIA CIVIL;3
2021;;ENGENHARIA CIVIL;4
2021;;ENGENHARIA CIVIL;5
2021;;ENGENHARIA DA COMPUTAÇÃO;3
2021;;ENGENHARIA DA COMPUTAÇÃO;4
2021;;ENGENHARIA DA COMPUTAÇÃO;5
2021;;ENGENHARIA DE ALIMENTOS;3
2021;;ENGENHARIA DE ALIMENTOS;4
2021;;ENGENHARIA DE ALIMENTOS;5
2021;;ENGENHARIA DE CONTROLE E AUTOMAÇÃO;0
2021;;ENGENHARIA DE CONTROLE E AUTOMAÇÃO;3
2021;;ENGENHARIA DE CONTROLE E AUTOMAÇÃO;4
2021;;ENGENHARIA DE CONTROLE E AUTOMAÇÃO;5
2021;;ENGENHARIA DE PRODUÇÃO;3
2021;;ENGENHARIA DE PRODUÇÃO;4
2021;;ENGENHARIA DE PRODUÇÃO;5
2021;;ENGENHARIA ELÉTRICA;0
2021;;ENGENHARIA ELÉTRICA;3
2021;;ENGENHARIA ELÉTRICA;4
2021;;ENGENHARIA ELÉTRICA;5
2021;;ENGENHARIA FLORESTAL;2
2021;;ENGENHARIA FLORESTAL;3
2021;;ENGENHARIA FLORESTAL;4
2021;;ENGENHARIA FLORESTAL;5
2021;;ENGENHARIA MECÂNICA;2
2021;;ENGENHARIA MECÂNICA;3
2021;;ENGENHARIA MECÂNICA;4
2021;;ENGENHARIA MECÂNICA;5
2021;;ENGENHARIA QUÍMICA;3
2021;;ENGENHARIA QUÍMICA;4
2021;;ENGENHARIA QUÍMICA;5
2021;;FARMÁCIA;3
2021;;FARMÁCIA;4
2021;;FISIOTERAPIA;3
2021;;FISIOTERAPIA;4
2021;;FISIOTERAPIA;5
2021;;FONOAUDIOLOGIA;3
2021;;FONOAUDIOLOGIA;4
2021;;MEDICINA;2
2021;;MEDICINA;3
2021;;MEDICINA;4
2021;;MEDICINA VETERINÁRIA;2
2021;;MEDICINA VETERINÁRIA;3
2021;;MEDICINA VETERINÁRIA;4
2021;;MEDICINA VETERINÁRIA;5
2021;;NUTRIÇÃO;3
2021;;NUTRIÇÃO;4
2021;;NUTRIÇÃO;5
2021;;ODONTOLOGIA;3
2021;;ODONTOLOGIA;4
2021;;ODONTOLOGIA;5
2021;;TECNOLOGIA EM AGRONEGÓCIOS;3
2021;;TECNOLOGIA EM AGRONEGÓCIOS;4
2021;;TECNOLOGIA EM GESTÃO AMBIENTAL;0
2021;;TECNOLOGIA EM GESTÃO AMBIENTAL;3
2021;;TECNOLOGIA EM GESTÃO AMBIENTAL;4
2021;;TECNOLOGIA EM GESTÃO AMBIENTAL;5
2021;;TECNOLOGIA EM GESTÃO HOSPITALAR;3
2021;;TECNOLOGIA EM GESTÃO HOSPITALAR;4
2021;;TECNOLOGIA EM RADIOLOGIA;3
2021;;TECNOLOGIA EM RADIOLOGIA;4
2021;;TECNOLOGIA EM SEGURANÇA NO TRABALHO;4
2021;;ZOOTECNIA;2
2021;;ZOOTECNIA;3
2021;;ZOOTECNIA;4
2021;;ZOOTECNIA;5
2021;Campus Abaetetuba;AGRONOMIA;2
2021;Campus Abaetetuba;AGRONOMIA;3
2021;Campus Abaetetuba;AGRONOMIA;4
2021;Campus Abaetetuba;AGRONOMIA;5
2021;Campus Abaetetuba;ARQUITETURA E URBANISMO;3
2021;Campus Abaetetuba;ARQUITETURA E URBANISMO;4
2021;Campus Abaetetuba;ARQUITETURA E URBANISMO;5
2021;Campus Abaetetuba;BIOMEDICINA;3
2021;Campus Abaetetuba;BIOMEDICINA;4
2021;Campus Abaetetuba;EDUCAÇÃO FÍSICA (BACHARELADO);3
2021;Campus Abaetetuba;EDUCAÇÃO FÍSICA (BACHARELADO);4
2021;Campus Abaetetuba;ENFERMAGEM;0
2021;Campus Abaetetuba;ENFERMAGEM;3
2021;Campus Abaetetuba;ENFERMAGEM;4
2021;Campus Abaetetuba;ENFERMAGEM;5
2021;Campus Abaetetuba;ENGENHARIA AMBIENTAL;0
2021;Campus Abaetetuba;ENGENHARIA AMBIENTAL;3
2021;Campus Abaetetuba;ENGENHARIA AMBIENTAL;4
2021;Campus Abaetetuba;ENGENHARIA AMBIENTAL;5
2021;Campus Abaetetuba;ENGENHARIA CIVIL;3
2021;Campus Abaetetuba;ENGENHARIA CIVIL;4
2021;Campus Abaetetuba;ENGENHARIA CIVIL;5
2021;Campus Abaetetuba;ENGENHARIA DA COMPUTAÇÃO;3
2021;Campus Abaetetuba;ENGENHARIA DA COMPUTAÇÃO;4
2021;Campus Abaetetuba;ENGENHARIA DA COMPUTAÇÃO;5
2021;Campus Abaetetuba;ENGENHARIA DE ALIMENTOS;3
2021;Campus Abaetetuba;ENGENHARIA DE ALIMENTOS;4
2021;Campus Abaetetuba;ENGENHARIA DE ALIMENTOS;5
2021;Campus Abaetetuba;ENGENHARIA DE CONTROLE E AUTOMAÇÃO;0
2021;Campus Abaetetuba;ENGENHARIA DE CONTROLE E AUTOMAÇÃO;3
2021;Campus Abaetetuba;ENGENHARIA DE CONTROLE E AUTOMAÇÃO;4
2021;Campus Abaetetuba;ENGENHARIA DE CONTROLE E AUTOMAÇÃO;5
2021;Campus Abaetetuba;ENGENHARIA DE PRODUÇÃO;3
2021;Campus Abaetetuba;ENGENHARIA DE PRODUÇÃO;4
2021;Campus Abaetetuba;ENGENHARIA DE PRODUÇÃO;5
2021;Campus Abaetetuba;ENGENHARIA ELÉTRICA;0
2021;Campus Abaetetuba;ENGENHARIA ELÉTRICA;3
2021;Campus Abaetetuba;ENGENHARIA ELÉTRICA;4
2021;Campus Abaetetuba;ENGENHARIA ELÉTRICA;5
2021;Campus Abaetetuba;ENGENHARIA FLORESTAL;2
2021;Campus Abaetetuba;ENGENHARIA FLORESTAL;3
2021;Campus Abaetetuba;ENGENHARIA FLORESTAL;4
2021;Campus Abaetetuba;ENGENHARIA FLORESTAL;5
2021;Campus Abaetetuba;ENGENHARIA MECÂNICA;2
2021;Campus Abaetetuba;ENGENHARIA MECÂNICA;3
2021;Campus Abaetetuba;ENGENHARIA MECÂNICA;4
2021;Campus Abaetetuba;ENGENHARIA MECÂNICA;5
2021;Campus Abaetetuba;ENGENHARIA QUÍMICA;3
2021;Campus Abaetetuba;ENGENHARIA QUÍMICA;4
2021;Campus Abaetetuba;ENGENHARIA QUÍMICA;5
